Data Science Salary 2021 to 2023
work_year;experience_level;employment_type;job_title;salary_in_usd;company_location;company_size;;
2023;SE;FT;Data Engineer;168400;US;M;;
2023;SE;FT;Data Engineer;105200;US;M;;
2023;SE;FT;Data Scientist;210000;US;M;;
2023;SE;FT;Data Scientist;160000;US;M;;
2023;SE;FT;Applied Scientist;222200;US;L;;
2023;SE;FT;Applied Scientist;136000;US;L;;
2023;SE;FT;Data Analyst;185000;US;M;;
2023;SE;FT;Data Analyst;120250;US;M;;
2023;SE;FT;Data Scientist;205000;US;M;;
2023;SE;FT;Data Scientist;140000;US;M;;
2023;SE;FT;Data Scientist;297300;US;M;;
2023;SE;FT;Data Scientist;198200;US;M;;
2023;SE;FT;Research Scientist;141288;US;M;;
2023;SE;FT;Research Scientist;94192;US;M;;
2023;SE;FT;Data Infrastructure Engineer;184000;US;M;;
2023;SE;FT;Data Infrastructure Engineer;143000;US;M;;
2023;SE;FT;Data Analyst;70000;US;M;;
2023;SE;FT;Data Analyst;55000;US;M;;
2023;SE;FT;Analytics Engineer;275300;US;M;;
2023;SE;FT;Analytics Engineer;183500;US;M;;
2023;SE;FT;Data Architect;149040;US;M;;
2023;SE;FT;Data Architect;113900;US;M;;
2023;SE;FT;Data Analyst;180180;US;M;;
2023;SE;FT;Data Analyst;106020;US;M;;
2023;SE;FT;Data Engineer;139500;US;M;;
2023;SE;FT;Data Engineer;109400;US;M;;
2023;SE;FT;Data Scientist;105000;US;M;;
2023;SE;FT;Data Scientist;70000;US;M;;
2023;SE;FT;Data Engineer;146000;US;M;;
2023;SE;FT;Data Engineer;75000;US;M;;
2023;SE;FT;Data Engineer;160000;US;M;;
2023;SE;FT;Data Engineer;130000;US;M;;
2023;SE;FT;Data Analyst;169000;US;M;;
2023;SE;FT;Data Analyst;110600;US;M;;
2023;SE;FT;Data Operations Engineer;193000;US;M;;
2023;SE;FT;Data Operations Engineer;136850;US;M;;
2023;SE;FT;Machine Learning Engineer;139500;US;M;;
2023;SE;FT;Machine Learning Engineer;109400;US;M;;
2023;SE;FT;Data Engineer;276000;US;M;;
2023;SE;FT;Data Engineer;178500;US;M;;
2023;SE;FT;Machine Learning Engineer;195652;GB;M;;
2023;SE;FT;Machine Learning Engineer;101228;GB;M;;
2023;SE;FT;Data Engineer;136956;GB;M;;
2023;SE;FT;Data Engineer;101228;GB;M;;
2023;SE;FT;Data Engineer;252000;US;M;;
2023;SE;FT;Data Engineer;129000;US;M;;
2023;SE;FT;Data Engineer;163800;US;M;;
2023;SE;FT;Data Engineer;126000;US;M;;
2023;SE;FT;ML Engineer;260000;CA;M;;
2023;SE;FT;ML Engineer;110000;CA;M;;
2023;SE;FT;Analytics Engineer;170000;US;M;;
2023;SE;FT;Analytics Engineer;130000;US;M;;
2023;SE;FT;Machine Learning Engineer;247500;US;M;;
2023;SE;FT;Machine Learning Engineer;172200;US;M;;
2023;SE;FT;Data Scientist;239748;US;M;;
2023;SE;FT;Data Scientist;159832;US;M;;
2023;SE;FT;Machine Learning Engineer;163800;US;M;;
2023;SE;FT;Machine Learning Engineer;126000;US;M;;
2023;SE;FT;Data Engineer;252000;US;M;;
2023;SE;FT;Data Engineer;129000;US;M;;
2023;SE;FT;Data Science Manager;299500;US;M;;
2023;SE;FT;Data Science Manager;245100;US;M;;
2023;SE;FT;Data Architect;188500;US;M;;
2023;SE;FT;Data Architect;117000;US;M;;
2023;SE;FT;Data Analyst;250000;US;M;;
2023;SE;FT;Data Analyst;138000;US;M;;
2023;SE;FT;Deep Learning Researcher;123405;DE;L;;
2023;SE;FT;Data Engineer;140000;US;M;;
2023;SE;FT;Data Engineer;120000;US;M;;
2023;SE;FT;BI Analyst;160000;US;M;;
2023;SE;FT;BI Analyst;135000;US;M;;
2023;SE;FT;Data Engineer;153600;US;M;;
2023;SE;FT;Data Engineer;106800;US;M;;
2023;SE;FT;Data Analyst;127000;US;M;;
2023;SE;FT;Data Analyst;94000;US;M;;
2023;SE;FT;Data Scientist;210550;US;M;;
2023;SE;FT;Data Scientist;153300;US;M;;
2023;SE;FT;Data Analyst;161500;US;M;;
2023;SE;FT;Data Analyst;119500;US;M;;
2023;SE;FT;Data Analyst;175000;US;M;;
2023;SE;FT;Data Analyst;145000;US;M;;
2023;SE;FT;Data Scientist;175000;US;M;;
2023;SE;FT;Data Scientist;148750;US;M;;
2023;SE;FT;Data Analytics Specialist;105000;US;M;;
2023;SE;FT;Data Analytics Specialist;85000;US;M;;
2023;SE;FT;Research Scientist;215000;US;M;;
2023;SE;FT;Research Scientist;146300;US;M;;
2023;SE;FT;Machine Learning Engineer;153400;US;M;;
2023;SE;FT;Machine Learning Engineer;122700;US;M;;
2023;SE;FT;Data Scientist;186300;US;M;;
2023;SE;FT;Data Scientist;123900;US;M;;
2023;SE;FT;Machine Learning Engineer;153400;US;M;;
2023;SE;FT;Machine Learning Engineer;122700;US;M;;
2023;SE;FT;Data Analyst;185900;US;M;;
2023;SE;FT;Data Analyst;121700;US;M;;
2023;SE;FT;Data Analyst;153600;US;M;;
2023;SE;FT;Data Analyst;106800;US;M;;
2023;SE;FL;Software Data Engineer;50000;AU;M;;
2023;SE;FT;Machine Learning Engineer;247500;US;M;;
2023;SE;FT;Machine Learning Engineer;172200;US;M;;
2023;SE;FT;Data Analyst;125000;US;M;;
2023;SE;FT;Data Analyst;110000;US;M;;
2023;SE;FT;Data Scientist;149076;US;M;;
2023;SE;FT;Data Scientist;82365;US;M;;
2023;SE;FT;Machine Learning Engineer;139500;US;M;;
2023;SE;FT;Machine Learning Engineer;109400;US;M;;
2023;SE;FT;Data Engineer;139500;US;M;;
2023;SE;FT;Data Engineer;109400;US;M;;
2023;SE;FT;Data Engineer;252000;US;M;;
2023;SE;FT;Data Engineer;129000;US;M;;
2023;SE;FT;Data Analyst;95000;US;M;;
2023;SE;FT;Data Analyst;85500;US;M;;
2023;SE;FT;Data Analyst;185900;US;M;;
2023;SE;FT;Data Analyst;121700;US;M;;
2023;SE;FT;Data Scientist;201000;US;M;;
2023;SE;FT;Data Scientist;122000;US;M;;
2023;SE;FT;Data Engineer;252000;US;M;;
2023;SE;FT;Data Engineer;129000;US;M;;
2023;SE;FT;Data Analyst;120000;US;M;;
2023;SE;FT;Data Analyst;75000;US;M;;
2023;SE;FT;Data Scientist;185900;US;M;;
2023;SE;FT;Data Scientist;129300;US;M;;
2023;SE;FT;Data Scientist;201000;US;M;;
2023;SE;FT;Data Scientist;122000;US;M;;
2023;SE;FT;Machine Learning Engineer;204500;US;M;;
2023;SE;FT;Machine Learning Engineer;142200;US;M;;
2023;SE;FT;Data Manager;155000;US;M;;
2023;SE;FT;Data Manager;140000;US;M;;
2023;SE;FT;Data Engineer;121500;US;M;;
2023;SE;FT;Data Engineer;78000;US;M;;
2023;SE;FT;Data Scientist;190000;US;M;;
2023;SE;FT;Data Scientist;136000;US;M;;
2023;SE;FT;Data Analyst;180000;US;M;;
2023;SE;FT;Data Analyst;110000;US;M;;
2023;SE;FT;Data Scientist;275300;US;M;;
2023;SE;FT;Data Scientist;183000;US;M;;
2023;SE;FT;Data Engineer;170000;US;M;;
2023;SE;FT;Data Engineer;140000;US;M;;
2023;SE;FT;Data Engineer;154000;US;M;;
2023;SE;FT;Data Engineer;116000;US;M;;
2023;SE;FT;Data Engineer;160000;US;M;;
2023;SE;FT;Data Engineer;130000;US;M;;
2023;SE;FT;Data Scientist;175000;US;M;;
2023;SE;FT;Data Scientist;160000;US;M;;
2023;SE;FT;Data Engineer;153600;US;M;;
2023;SE;FT;Data Engineer;106800;US;M;;
2023;SE;FT;Data Scientist;225000;US;M;;
2023;SE;FT;Data Scientist;156400;US;M;;
2023;SE;FT;Analytics Engineer;150000;US;M;;
2023;SE;FT;Analytics Engineer;120000;US;M;;
2023;SE;FT;Machine Learning Engineer;163800;US;M;;
2023;SE;FT;Machine Learning Engineer;126000;US;M;;
2023;SE;FT;Data Analyst;145000;US;M;;
2023;SE;FT;Data Analyst;90000;US;M;;
2023;SE;FT;Machine Learning Engineer;204500;US;M;;
2023;SE;FT;Machine Learning Engineer;142200;US;M;;
2023;SE;FT;Data Analyst;95000;US;M;;
2023;SE;FT;Data Analyst;85500;US;M;;
2023;SE;FT;Data Engineer;167500;US;M;;
2023;SE;FT;Data Engineer;106500;US;M;;
2023;SE;FT;Data Engineer;163800;US;M;;
2023;SE;FT;Data Engineer;126000;US;M;;
2023;SE;FT;Research Scientist;250000;US;M;;
2023;SE;FT;Research Scientist;200000;US;M;;
2023;SE;FT;Data Scientist;260000;US;M;;
2023;SE;FT;Data Scientist;186000;US;M;;
2023;SE;FT;Data Engineer;160000;US;M;;
2023;SE;FT;Data Engineer;130000;US;M;;
2023;SE;FT;Research Scientist;200000;US;M;;
2023;SE;FT;Research Scientist;150000;US;M;;
2023;SE;FT;Data Scientist;48289;ES;M;;
2023;SE;FT;Data Scientist;38631;ES;M;;
2023;SE;FT;Data Scientist;150000;US;M;;
2023;SE;FT;Data Scientist;120000;US;M;;
2023;SE;FT;Head of Data;75116;PT;L;;
2023;SE;FT;Data Analyst;175000;US;M;;
2023;SE;FT;Data Analyst;130000;US;M;;
2023;SE;FT;Data Analyst;122000;US;M;;
2023;SE;FT;Data Analyst;93800;US;M;;
2023;SE;FT;Data Science Manager;150000;MX;M;;
2023;SE;FT;Data Science Manager;90000;MX;M;;
2023;SE;FT;Data Analyst;165000;US;M;;
2023;SE;FT;Data Analyst;112000;US;M;;
2023;SE;FT;BI Data Analyst;71897;DE;M;;
2023;SE;FT;Machine Learning Engineer;204500;US;M;;
2023;SE;FT;Machine Learning Engineer;142200;US;M;;
2023;SE;FT;Data Analyst;15806;IN;S;;
2023;SE;FT;Data Engineer;185900;US;M;;
2023;SE;FT;Data Engineer;129300;US;M;;
2023;SE;FT;Data Analyst;185900;US;M;;
2023;SE;FT;Data Analyst;121700;US;M;;
2023;SE;FT;Machine Learning Engineer;204500;US;M;;
2023;SE;FT;Machine Learning Engineer;142200;US;M;;
2023;SE;FT;Data Science Consultant;29453;TH;M;;
2023;SE;FT;Data Analyst;180180;US;M;;
2023;SE;FT;Data Analyst;106020;US;M;;
2023;SE;FT;Data Scientist;136000;US;M;;
2023;SE;FT;Data Scientist;104000;US;M;;
2023;SE;FT;Data Analyst;125000;US;M;;
2023;SE;FT;Data Analyst;110000;US;M;;
2023;SE;FT;Machine Learning Engineer;153400;US;M;;
2023;SE;FT;Machine Learning Engineer;122700;US;M;;
2023;SE;FT;Data Analyst;152380;US;M;;
2023;SE;FT;Data Analyst;121904;US;M;;
2023;SE;FT;Data Scientist;185900;US;M;;
2023;SE;FT;Data Scientist;129300;US;M;;
2023;SE;FT;Machine Learning Engineer;247500;US;M;;
2023;SE;FT;Machine Learning Engineer;172200;US;M;;
2023;SE;FT;Data Architect;168400;US;M;;
2023;SE;FT;Data Architect;105200;US;M;;
2023;SE;FT;Machine Learning Engineer;128280;US;M;;
2023;SE;FT;Machine Learning Engineer;106900;US;M;;
2023;SE;FT;Research Engineer;107309;DE;S;;
2023;SE;FT;Research Engineer;85847;DE;S;;
2023;SE;FT;Machine Learning Engineer;275000;DE;M;;
2023;SE;FT;Machine Learning Engineer;174000;DE;M;;
2023;SE;FT;Data Engineer;139500;US;M;;
2023;SE;FT;Data Engineer;109400;US;M;;
2023;SE;FT;Machine Learning Engineer;139500;US;M;;
2023;SE;FT;Machine Learning Engineer;109400;US;M;;
2023;SE;FT;Data Analyst;170500;US;M;;
2023;SE;FT;Data Analyst;85000;US;M;;
2023;SE;FT;Data Manager;72946;GB;M;;
2023;SE;FT;Data Manager;54365;GB;M;;
2023;SE;FT;Data Engineer;80000;US;M;;
2023;SE;FT;Data Engineer;65000;US;M;;
2023;SE;FT;Data Engineer;124740;US;M;;
2023;SE;FT;Data Engineer;65488;US;M;;
2023;SE;FT;Data Quality Analyst;72200;US;M;;
2023;SE;FT;Data Quality Analyst;64980;US;M;;
2023;SE;FT;Data Engineer;153600;US;M;;
2023;SE;FT;Data Engineer;106800;US;M;;
2023;SE;FT;Data Analyst;179975;US;M;;
2023;SE;FT;Data Analyst;86466;US;M;;
2023;SE;FT;Data Engineer;120000;US;M;;
2023;SE;FT;Data Engineer;90000;US;M;;
2023;SE;FT;Data Scientist;149076;US;M;;
2023;SE;FT;Data Scientist;82365;US;M;;
2023;SE;FT;Data Analyst;169000;US;M;;
2023;SE;FT;Data Analyst;110600;US;M;;
2023;SE;FT;Data Science Manager;175000;US;M;;
2023;SE;FT;Data Science Manager;120000;US;M;;
2023;SE;FT;Data Analyst;230000;US;M;;
2023;SE;FT;Data Analyst;180000;US;M;;
2023;SE;FT;Data Analyst;153600;US;M;;
2023;SE;FT;Data Analyst;106800;US;M;;
2023;SE;FT;Data Manager;140000;US;M;;
2023;SE;FT;Data Manager;120000;US;M;;
2023;SE;FT;Machine Learning Infrastructure Engineer;205920;US;M;;
2023;SE;FT;Machine Learning Infrastructure Engineer;171600;US;M;;
2023;SE;FT;Data Analyst;165000;US;M;;
2023;SE;FT;Data Analyst;125000;US;M;;
2023;SE;FT;Data Engineer;265000;US;M;;
2023;SE;FT;Data Engineer;185000;US;M;;
2023;SE;FT;Data Analyst;95000;US;M;;
2023;SE;FT;Data Analyst;85500;US;M;;
2023;SE;FT;Data Scientist;147100;US;M;;
2023;SE;FT;Data Scientist;90700;US;M;;
2023;SE;FT;Data Engineer;167580;US;M;;
2023;SE;FT;Data Engineer;87980;US;M;;
2023;SE;FT;Data Engineer;202000;US;M;;
2023;SE;FT;Data Engineer;135000;US;M;;
2023;SE;FT;Data Engineer;163800;US;M;;
2023;SE;FT;Data Engineer;126000;US;M;;
2023;SE;FT;Machine Learning Engineer;163800;US;M;;
2023;SE;FT;Machine Learning Engineer;126000;US;M;;
2023;SE;FT;Data Engineer;104000;US;M;;
2023;SE;FT;Data Engineer;65000;US;M;;
2023;SE;FT;Research Engineer;230000;US;M;;
2023;SE;FT;Research Engineer;148000;US;M;;
2023;SE;FT;Machine Learning Engineer;269000;CA;M;;
2023;SE;FT;Machine Learning Engineer;158000;CA;M;;
2023;SE;FT;Analytics Engineer;197000;US;M;;
2023;SE;FT;Analytics Engineer;106000;US;M;;
2023;SE;FT;Data Engineer;290000;US;M;;
2023;SE;FT;Data Engineer;210000;US;M;;
2023;SE;FT;Data Engineer;192000;US;M;;
2023;SE;FT;Data Engineer;172800;US;M;;
2023;SE;FT;Data Scientist;300240;US;M;;
2023;SE;FT;Data Scientist;200160;US;M;;
2023;SE;FT;Data Scientist;300240;US;M;;
2023;SE;FT;Data Scientist;200160;US;M;;
2023;SE;FT;Analytics Engineer;175000;US;M;;
2023;SE;FT;Analytics Engineer;140000;US;M;;
2023;SE;FT;Data Manager;169000;US;M;;
2023;SE;FT;Data Manager;100000;US;M;;
2023;SE;FT;Data Scientist;370000;US;M;;
2023;SE;FT;Data Scientist;245000;US;M;;
2023;SE;FT;Data Analyst;110000;US;S;;
2023;SE;FT;Data Analyst;80000;US;S;;
2023;SE;FT;Data Analyst;95000;US;M;;
2023;SE;FT;Data Analyst;85000;US;M;;
2023;SE;FT;Data Engineer;137500;US;M;;
2023;SE;FT;Data Engineer;81500;US;M;;
2023;SE;FT;Machine Learning Engineer;323300;US;M;;
2023;SE;FT;Machine Learning Engineer;184700;US;M;;
2023;SE;FT;Machine Learning Engineer;186000;US;M;;
2023;SE;FT;Machine Learning Engineer;153088;US;M;;
2023;SE;FT;Machine Learning Engineer;200000;US;M;;
2023;SE;FT;Machine Learning Engineer;150000;US;M;;
2023;SE;FT;Machine Learning Engineer;240000;US;M;;
2023;SE;FT;Machine Learning Engineer;180000;US;M;;
2023;SE;FT;Machine Learning Engineer;200000;US;M;;
2023;SE;FT;Machine Learning Engineer;150000;US;M;;
2023;SE;FT;Data Science Manager;299500;US;M;;
2023;SE;FT;Data Science Manager;245100;US;M;;
2023;SE;FT;Data Engineer;144000;US;M;;
2023;SE;FT;Data Engineer;66000;US;M;;
2023;SE;FT;Data Architect;228000;US;M;;
2023;SE;FT;Data Architect;120000;US;M;;
2023;SE;FT;Machine Learning Software Engineer;180000;US;M;;
2023;SE;FT;Machine Learning Software Engineer;90000;US;M;;
2023;SE;FT;Data Scientist;126500;US;M;;
2023;SE;FT;Data Scientist;78000;US;M;;
2023;SE;FT;Data Engineer;180000;US;M;;
